Team,points-per-game,average-scoring-margin,field-goals-made-per-game,field-goals-attempted-per-game,offensive-efficiency,defensive-efficiency,effective-field-goal-pct,true-shooting-percentage,three-point-pct,two-point-pct,free-throw-pct,three-pointers-made-per-game,three-pointers-attempted-per-game,offensive-rebounds-per-game,defensive-rebounds-per-game,total-rebounds-per-game,offensive-rebounding-pct,defensive-rebounding-pct,total-rebounding-percentage,blocks-per-game,steals-per-game,assists-per-game,turnovers-per-game,assist--per--turnover-ratio,win-pct-all-games,win-pct-close-games,possessions-per-game,personal-fouls-per-game,opponent-points-per-game,opponent-average-scoring-margin,opponent-shooting-pct,opponent-effective-field-goal-pct,opponent-three-point-pct,opponent-two-point-pct,opponent-free-throw-pct,opponent-true-shooting-percentage,opponent-assists-per-game,opponent-turnovers-per-game,opponent-assist--per--turnover-ratio
Gonzaga,87.8,22.5,32.9,62.4,1.168,0.869,59.4,123.2,37.9,60.9,73.0,8.4,22.1,8.3,30.0,41.5,27.7,79.2,56.0,5.9,6.7,18.2,11.8,1.548,0.897,0.0,75.2,15.4,65.3,-22.5,37.9,43.2,30.7,41.6,69.5,92.0,10.0,12.6,0.794
S Dakota St,85.5,11.0,30.5,58.5,1.171,1.021,59.7,125.2,44.2,56.3,76.0,8.9,20.1,6.2,26.4,35.0,21.9,77.9,52.2,2.3,5.7,14.4,11.0,1.316,0.875,1.0,73.1,15.8,74.6,-11.0,44.2,51.5,35.2,50.6,74.1,107.9,12.1,11.4,1.066
Arizona,84.6,17.0,30.4,61.4,1.132,0.904,55.9,118.1,35.4,57.5,73.8,7.8,21.9,10.4,28.4,41.4,33.9,74.2,55.2,5.7,6.7,19.9,13.2,1.511,0.912,0.8,74.7,16.5,67.5,-17.0,38.7,44.4,32.7,41.9,67.0,93.9,11.8,12.9,0.909
Iowa,83.8,12.5,29.9,64.5,1.158,0.985,53.6,113.6,36.8,52.6,74.9,9.3,25.2,10.6,23.7,37.3,31.0,72.0,50.9,4.4,7.4,16.1,9.2,1.754,0.743,0.375,72.3,16.1,71.3,-12.5,43.8,49.8,32.9,50.0,70.6,105.0,14.4,13.7,1.054
Oral Roberts,81.5,3.6,29.7,65.5,1.104,1.055,53.9,112.2,37.2,52.3,72.2,11.3,30.2,8.5,27.5,38.8,24.7,77.2,51.2,4.1,4.7,11.3,9.6,1.179,0.571,0.333,73.8,15.9,77.8,-3.6,45.1,51.1,34.4,50.8,70.4,107.0,11.6,9.2,1.26
Duke,80.2,13.0,29.7,60.7,1.144,0.958,55.6,116.3,36.8,55.8,72.9,8.2,22.2,9.4,26.3,38.3,30.5,73.8,53.0,5.5,6.5,16.9,10.2,1.652,0.824,0.556,70.1,13.6,67.1,-13.0,41.7,47.0,31.4,46.9,67.2,97.8,13.6,11.0,1.232
Alabama,80.0,3.6,27.7,62.8,1.063,1.016,51.5,109.9,30.8,56.3,73.0,9.3,30.1,11.6,24.7,39.9,33.8,70.6,52.5,4.7,7.0,14.6,14.6,1.004,0.594,0.583,75.2,18.6,76.4,-3.6,43.5,49.4,33.1,49.2,71.2,106.1,12.4,13.0,0.95
Toledo,79.9,10.4,29.7,62.0,1.116,0.971,53.5,113.4,35.9,53.4,76.0,7.0,19.4,9.1,27.6,39.8,28.5,73.7,53.0,2.7,5.3,15.2,10.4,1.461,0.781,0.714,71.5,15.3,69.5,-10.4,40.4,47.0,31.2,47.1,67.2,98.7,12.6,10.8,1.168
Purdue,79.8,11.0,28.2,57.2,1.159,0.999,57.0,118.9,39.1,55.9,70.3,8.7,22.4,9.8,25.7,38.6,34.1,78.7,57.0,3.5,4.6,16.6,11.7,1.423,0.794,0.444,68.8,14.4,68.8,-11.0,42.7,49.6,33.5,49.2,72.0,104.0,13.6,9.5,1.432
St Johns,79.6,5.4,30.3,66.8,1.041,0.97,50.8,106.1,33.5,51.0,67.7,7.3,21.6,10.3,24.7,37.8,28.9,70.6,49.3,5.5,8.8,18.8,11.9,1.575,0.531,0.3,76.4,17.9,74.2,-5.4,42.4,48.9,34.1,47.5,71.6,105.1,13.1,15.9,0.821
Wake Forest,79.5,9.3,28.6,58.5,1.086,0.959,56.2,117.9,35.1,58.7,73.3,8.6,24.6,8.0,26.5,36.8,26.3,75.9,52.3,3.9,6.4,15.1,13.6,1.115,0.719,0.556,73.2,15.8,70.2,-9.3,41.6,47.5,32.6,46.8,70.3,101.4,12.4,12.6,0.99
Kentucky,79.5,13.5,30.4,62.8,1.118,0.929,53.4,112.1,34.9,53.7,73.0,6.2,17.6,11.4,25.5,40.3,36.5,77.3,57.1,4.2,6.8,16.1,11.5,1.394,0.788,0.25,71.1,14.2,66.0,-13.5,41.1,46.6,30.3,47.2,71.5,99.2,11.3,12.1,0.935
UAB,79.4,11.8,29.0,62.3,1.091,0.929,52.9,111.9,38.3,50.6,73.9,7.8,20.4,10.1,24.5,37.9,32.0,75.7,53.1,4.1,9.0,12.8,11.6,1.111,0.781,0.444,72.8,17.0,67.6,-11.8,41.9,47.9,32.4,47.5,71.1,102.8,11.0,15.2,0.726
Auburn,78.7,11.7,27.9,63.6,1.052,0.896,50.3,107.7,32.0,51.9,73.3,8.1,25.4,10.2,25.8,39.9,31.0,73.8,52.2,7.9,8.8,14.6,12.1,1.207,0.844,0.5,74.8,18.5,67.0,-11.7,38.5,44.1,31.2,42.6,72.9,97.5,11.1,15.0,0.736
Buffalo,78.7,5.1,29.3,64.8,1.068,0.998,51.6,108.3,34.4,51.6,71.6,8.3,24.1,12.4,26.3,41.9,35.4,73.9,54.7,4.1,6.8,14.7,13.4,1.096,0.607,0.286,73.7,17.4,73.6,-5.1,43.0,48.2,31.9,48.3,71.0,102.8,11.5,11.4,1.003
Princeton,78.6,6.6,29.8,61.9,1.11,1.017,56.7,115.3,38.4,55.9,64.0,10.7,27.8,7.3,25.5,35.3,22.6,78.1,50.6,1.7,5.7,14.9,10.1,1.479,0.75,0.727,70.8,14.0,72.0,-6.6,46.0,51.3,33.6,51.6,73.4,107.4,11.2,10.8,1.036
Kansas,78.6,10.4,28.6,59.6,1.097,0.951,54.1,114.2,35.5,54.5,72.4,7.1,20.1,9.9,25.1,37.4,32.2,73.6,53.3,4.1,6.4,15.4,12.5,1.235,0.824,0.75,71.7,15.9,68.1,-10.4,41.8,46.9,30.1,47.9,70.7,100.3,11.9,12.9,0.92
Col Charlestn,78.2,1.8,28.0,63.7,1.021,0.998,50.3,107.2,33.9,49.9,73.0,8.1,23.9,11.9,24.8,40.3,34.7,77.5,54.7,2.8,8.0,13.2,15.6,0.844,0.531,0.529,76.6,20.6,76.4,-1.8,45.2,51.2,34.1,51.3,72.3,110.0,12.6,14.3,0.878
Bowling Grn,77.9,-4.4,27.4,64.4,1.027,1.085,48.6,105.0,33.1,48.0,74.2,7.9,23.8,10.3,23.8,37.4,28.6,70.7,49.0,3.4,7.2,11.9,12.2,0.972,0.379,0.6,75.8,18.1,82.2,4.4,45.8,53.5,36.0,53.1,74.7,113.4,14.6,12.9,1.137
