Year,Rank,Team,Conference,Win,Loss,Seed,Adj EM,AdjO,AdjO Rank,AdjD,AdjD Rank,AdjT,AdjT Rank,Luck,Luck Rank,SOS Adj EM,SOS Adj EM Rank,SOS OppO,SOS OppO Rank,SOS OppD,SOS OppD Rank,NCSOS Adj EM,NCSOS Adj EM Rank
2022,1,Gonzaga,WCC,26,3,1,32.97,121.8,1,88.8,7,72.5,4,-0.038,268,3.78,99,104.5,111,100.8,94,-2.56,246
2022,2,Arizona,P12,31,3,1,27.21,119.6,5,92.4,20,72.2,8,0.046,77,6.34,67,106.0,75,99.7,57,-0.22,170
2022,3,Kentucky,SEC,26,7,2,26.59,120.2,4,93.6,27,67.3,155,-0.032,251,9.08,29,106.9,52,97.9,17,-2.76,249
2022,4,Houston,Amer,29,5,5,26.5,117.3,10,90.9,11,63.8,333,-0.007,195,4.29,93,104.6,107,100.3,76,0.3,155
2022,5,Baylor,B12,26,6,1,26.32,117.9,9,91.6,14,67.2,169,0.019,138,10.71,12,107.4,39,96.7,5,-1.65,215
2022,6,Kansas,B12,28,6,1,25.49,119.4,6,93.9,29,69.1,68,0.035,101,12.02,3,107.6,32,95.6,1,4.52,50
2022,7,Tennessee,SEC,26,7,3,25.24,111.4,36,86.2,3,67.2,172,0.044,82,11.76,5,108.7,10,97.0,9,4.68,46
2022,8,UCLA,P12,25,7,4,24.85,116.1,15,91.2,12,65.5,258,-0.028,243,8.5,37,107.5,36,99.0,40,4.49,51
2022,9,Texas Tech,B12,25,9,3,24.64,109.7,65,85.1,1,66.5,211,-0.025,233,10.21,18,107.5,37,97.2,11,-7.93,345
2022,10,Auburn,SEC,27,5,2,24.45,113.6,24,89.1,8,70.0,40,-0.039,271,8.77,34,107.2,44,98.5,26,4.16,58
2022,11,Villanova,BE,26,7,2,24.11,118.0,8,93.8,28,62.6,345,0.051,71,10.76,10,108.6,11,97.8,15,8.74,17
2022,12,Duke,ACC,28,6,2,23.71,119.4,7,95.7,44,67.4,150,-0.011,204,6.14,71,107.4,40,101.2,106,-4.39,289
2022,13,Iowa,B10,26,9,5,23.53,121.5,2,98.0,77,69.6,52,-0.05,295,7.63,49,107.6,31,100.0,65,-6.3,325
