Team,points-per-game,average-scoring-margin,field-goals-made-per-game,field-goals-attempted-per-game,offensive-efficiency,defensive-efficiency,effective-possession-ratio,effective-field-goal-pct,true-shooting-percentage,three-point-pct,two-point-pct,free-throw-pct,three-pointers-made-per-game,three-pointers-attempted-per-game,offensive-rebounds-per-game,defensive-rebounds-per-game,total-rebounds-per-game,offensive-rebounding-pct,defensive-rebounding-pct,total-rebounding-percentage,blocks-per-game,steals-per-game,assists-per-game,turnovers-per-game,assist--per--turnover-ratio,win-pct-all-games,win-pct-close-games,possessions-per-game,personal-fouls-per-game,opponent-points-per-game,opponent-average-scoring-margin,opponent-shooting-pct,opponent-effective-field-goal-pct,opponent-true-shooting-percentage,opponent-three-point-pct,opponent-two-point-pct,opponent-free-throw-pct,opponent-assists-per-game,opponent-turnovers-per-game,opponent-assist--per--turnover-ratio,opponent-offensive-rebounds-per-game,opponent-defensive-rebounds-per-game,opponent-total-rebounds-per-game,opponent-offensive-rebounding-pct,opponent-defensive-rebounding-pct,opponent-blocks-per-game,opponent-steals-per-game,opponent-effective-possession-ratio
Gonzaga,87.2,21.0,32.7,62.6,1.16,0.881,0.961,58.7,121.5,37.0,60.4,71.3,8.2,22.1,8.7,30.2,41.9,28.0,78.8,55.7,5.8,6.4,18.1,11.6,1.562,0.875,0.5,75.2,15.5,66.2,-21.0,38.0,43.1,92.2,30.5,41.8,69.9,10.2,12.0,0.849,8.1,22.2,33.4,21.2,72.0,2.9,6.1,0.948
S Dakota St,84.7,10.4,30.2,58.5,1.162,1.02,0.934,59.2,124.3,43.7,55.9,75.9,8.8,20.2,6.1,26.3,34.9,21.6,77.7,52.0,2.4,5.8,14.4,10.9,1.313,0.849,1.0,72.9,15.6,74.3,-10.4,44.1,51.4,107.6,35.2,50.3,74.3,12.2,11.3,1.072,7.5,22.2,32.2,22.3,78.4,2.7,4.8,0.948
Arizona,84.0,15.9,30.2,61.3,1.124,0.911,0.962,55.6,117.4,35.2,57.1,73.9,7.8,22.0,10.6,28.2,41.4,34.0,74.0,55.0,5.7,6.7,19.6,13.4,1.461,0.892,0.833,74.7,16.7,68.1,-15.9,38.7,44.4,94.2,32.8,41.8,67.4,11.8,12.8,0.928,9.9,20.5,33.8,26.0,66.0,2.9,6.9,0.962
Iowa,83.2,12.0,29.8,64.5,1.15,0.984,1.018,53.3,112.9,36.3,52.5,74.9,9.2,25.3,10.6,23.8,37.3,30.9,72.2,51.0,4.3,7.3,16.0,9.2,1.738,0.722,0.333,72.3,16.2,71.2,-12.0,43.7,49.7,105.0,32.9,49.9,71.1,14.4,13.6,1.057,9.1,23.6,35.9,27.8,69.1,2.9,5.3,0.938
Oral Roberts,81.5,3.6,29.7,65.5,1.104,1.055,0.985,53.9,112.2,37.2,52.3,72.2,11.3,30.2,8.5,27.5,38.8,24.7,77.2,51.2,4.1,4.7,11.3,9.6,1.179,0.571,0.333,73.8,15.9,77.8,-3.6,45.1,51.1,107.0,34.4,50.8,70.4,11.6,9.2,1.26,8.1,25.9,37.0,22.8,75.3,3.6,5.2,0.985
Duke,80.1,12.3,29.7,60.4,1.145,0.97,0.984,55.7,116.6,36.6,56.1,73.8,7.9,21.6,9.2,26.0,37.9,30.1,73.1,52.8,5.6,6.4,16.5,10.3,1.605,0.821,0.546,69.9,13.6,67.8,-12.3,41.7,47.1,98.4,32.0,46.6,69.1,13.3,10.7,1.236,9.6,21.3,33.9,26.9,69.9,3.2,6.0,0.983
St Johns,79.6,5.4,30.3,66.8,1.041,0.97,0.979,50.8,106.1,33.5,51.0,67.7,7.3,21.6,10.3,24.7,37.8,28.9,70.6,49.3,5.5,8.8,18.8,11.9,1.575,0.531,0.3,76.4,17.9,74.2,-5.4,42.4,48.9,105.1,34.1,47.5,71.6,13.1,15.9,0.821,10.3,25.3,38.9,29.4,71.1,4.1,6.1,0.926
Alabama,79.5,3.0,27.6,62.8,1.058,1.018,0.96,51.3,109.5,30.9,55.9,72.8,9.2,29.9,11.6,24.5,39.6,33.7,70.8,52.3,4.7,7.1,14.7,14.5,1.008,0.576,0.583,75.1,18.5,76.5,-3.0,43.7,49.8,106.8,33.8,49.3,71.5,12.5,13.2,0.945,10.1,22.8,36.1,29.2,66.3,3.7,7.8,0.959
Kentucky,79.4,12.9,30.3,62.7,1.115,0.934,0.998,53.1,111.7,34.7,53.5,72.6,6.1,17.5,11.4,25.4,40.1,36.3,77.4,56.9,4.2,6.8,16.1,11.6,1.393,0.765,0.25,71.3,14.3,66.6,-12.9,41.4,46.9,100.1,30.8,47.3,72.1,11.5,12.2,0.944,7.4,20.0,30.4,22.6,63.7,2.9,6.0,0.933
Purdue,79.4,10.9,27.7,56.6,1.153,0.995,0.971,56.5,118.7,38.4,55.8,71.1,8.5,22.2,9.8,25.9,38.7,34.3,78.7,57.1,3.5,4.6,16.2,11.8,1.378,0.784,0.4,68.8,14.5,68.4,-10.9,42.4,49.1,103.2,33.2,48.6,72.1,13.6,9.5,1.433,7.0,18.8,29.1,21.3,65.7,2.4,5.9,0.964
